"id","worksite_city","state_Id"
"401","atlanta","310"
"402","alpharetta","310"
"403","saline","322"
"404","cassopolis","322"
"405","southfield","322"
"406","portage","322"
"407","somerville","321"
"408","shrewsbury","321"
"409","lexington","321"
"410","chandler","303"
"411","tempe","303"
"412","baudette","323"
"413","hopkins","323"
"414","cordova","342"
"415","bristol","342"
"416","nashville","342"
"417","san jose","305"
"418","menlo park","305"
"419","sunnyvale","305"
"420","long beach","305"
"421","irvine","305"
"422","newington","307"
"423","hartford","307"
"424","houston","343"
"425","plano","343"
"426","mckinney","343"
"427","reston","346"
"428","miami","309"
"429","baltimore","320"
"430","laurel","320"
"431","o'fallon","325"
"432","schaumburg","313"
"433","chicago","313"
"434","ninnekah","336"
"435","new york","332"
"436","albany","332"
"437","louisville","317"
"438","erlanger","317"
"439","seattle","347"
"440","bellevue","347"
"441","east windsor","330"
"442","princeton","330"
"443","glouscester city","330"
"444","mount laurel","330"
"445","north wales","338"
"446","pittsburgh","338"
"447","blue bell","338"
"448","winston-salem","333"
"449","morrisville","333"
"450","charlotte","333"
"451","sandy","344"
"452","raleigh","333"
"453","fargo","334"
"454","dulles","346"
"455","richmond","343"
"456","fremont","305"
"457","stanford","305"
"458","novi","322"
"459","montgomery","301"
"460","jersey city","330"
"461","san diego","305"
"462","west lebanon","329"
"463","virginia beach","346"
"464","detroit","322"
"465","everett","347"
"466","redmond","347"
"467","boise","312"
"468","st. louis","325"
"469","southlake","343"
"470","boston","321"
"471","charlottesville","346"
"472","lake stevens","347"
"473","malvern","338"
"474","santa clara","305"
"475","lynchburg","346"
"476","frisco","343"
"477","burbank","305"
"478","waltham","321"
"479","n chesterfield","346"
"480","azusa","305"
"481","rockville","320"
"482","o fallon","325"
"483","metuchen","330"
"484","florence","317"
"485","glendale","305"
"486","allen park","322"
"487","omaha","327"
"488","los angeles","305"
"489","secaucus","330"
"490","mount holly","333"
"491","memphis","342"
"492","dearborn","322"
"493","purchase","332"
"494","ithaca","332"
"495","walnut creek","305"
"496","flushing","332"
"497","san francisco","305"
"498","san antonio","343"
"499","tampa","309"
"500","overland park","316"
"501","harrisburg","338"
"502","piscataway","330"
"503","torrance","305"
"504","murray","344"
"505","west chester","338"
"506","herndon","346"
"507","des moines","315"
"508","hillsboro","337"
"509","wheeling","313"
"510","anaheim","305"
"511","collierville","342"
"512","portland","337"
"513","teaneck","330"
"514","westborough","321"
"515","trenton","330"
"516","richmond","346"
"517","lawrence","316"
"518","scottsdale","303"
"519","newark","305"
"520","vernon","305"
"521","campbell","305"
"522","mayfield heights","335"
"523","centennial","306"
"524","sacramento","305"
"525","philadelphia","338"
"526","norfolk","346"
"527","richmond","305"
"528","minnetonka","323"
"529","mountain view","305"
"530","dublin","335"
"531","south san francisco","305"
"532","baton rouge","318"
"533","dallas","343"
"534","redwood city","305"
"535","leander","343"
"536","mechanicsburg","338"
"537","cary","333"
"538","austin","343"
"539","poughkeepsie","332"
"540","piedmont","340"
"541","grand rapids","322"
"542","college station","343"
"543","tulsa","336"
"544","columbus","314"
"545","carlsbad","305"
"546","eden prarie","323"
"547","el segundo","305"
"548","studio city","305"
"549","boulder","306"
"550","salisbury","333"
"551","kearny","330"
"552","englewood","306"
"553","cumming","310"
"554","richfield","323"
"555","center valley","338"
"556","palo alto","305"
"557","flower mound","343"
"558","renton","347"
"559","elgin","313"
"560","burlington","321"
"561","westlake","343"
"562","monument","306"
"563","san ramon","305"
"564","northbrook,","313"
"565","fridley","323"
"566","lake mary","309"
"567","arvada","306"
"568","hoboken","330"
"569","beaverton","337"
"570","new  york","332"
"571","farmington hills","322"
"572","east hanover","330"
"573","katy","343"
"574","sylmar","305"
"575","aurora","337"
"576","smithfield","339"
"577","hazlet","330"
"578","durham","333"
"579","brooklyn","332"
"580","cambridge","321"
"581","colorado springs","306"
"582","columbia","320"
"583","lenexa","316"
"584","cold spring harbor","332"
"585","newark","308"
"586","palm coast","309"
"587","allen","343"
"588","phoenix","303"
"589","marlborough","321"
"590","lewisville","343"
"591","allentown","338"
"592","sunrise","309"
"593","irving","343"
"594","columbus","335"
"595","oak ridge","342"
"596","weston","309"
"597","addison","343"
"598","fairfield","315"
"599","chevy chase","320"
"600","nc","333"
"601","arvin","305"
"602","kirkland","347"
"603","mason","335"
"604","denver","306"
"605","mclean","346"
"606","riverside","305"
"607","edison","330"
"608","quincy","321"
"609","pembroke pines","309"
"610","washington",""
"611","verona","349"
"612","orlando","309"
"613","rosemead","305"
"614","melbourne","309"
"615","east palo alto","305"
"616","sanford","309"
"617","rochester","323"
"618","berkeley","305"
"619","iselin","330"
"620","auburn hills","322"
"621","new albany","335"
"622","flemington","330"
"623","london","317"
"624","calhoun","310"
"625","danvers","321"
"626","cupertino","305"
"627","hicksville","332"
"628","lone tree","306"
"629","franklin","342"
"630","westerville","335"
"631","cincinnati","335"
"632","corpus christi","343"
"633","detriot","322"
"634","san clemente","305"
"635","columbia","340"
"636","owings mills","320"
"637","troy","322"
"638","hawthorn woods","313"
"639","conshohocken","338"
"640","college park","320"
"641","hanover","320"
"642","concord","333"
"643","oswego","332"
"644","pleasanton","305"
"645","saint paul","323"
"646","macomb","322"
"647","woodland hills","305"
"648","wilmington","308"
"649","lathrop","305"
"650","falls church","346"
"651","norcross","310"
"652","research triangle park","333"
"653","cleveland","335"
"654","norwood","321"
"655","greenwood village","306"
"656","anderson","314"
"657","altamonte springs","309"
"658","pasadena","305"
"659","forney","343"
"660","prospect heights","313"
"661","fairfax","346"
"662","lexington","317"
"663","hillsborough","309"
"664","menomonee falls","349"
"665","fairfield","307"
"666","indianapolis","314"
"667","middletown","330"
"668","san jose\t","305"
"669","lafayette","306"
"670","saint louis","325"
"671","union","330"
"672","clifton park","332"
"673","culver city","305"
"674","bridgewater","330"
"675","new brunswick","330"
"676","wild rose","349"
"677","bedminister","330"
"678","bartlett","342"
"679","grand forks","334"
"680","bloomington","313"
"681","clovis","305"
"682","moon twp","338"
"683","davie","309"
"684","richardson","343"
"685","monroe township","330"
"686","concord","305"
"687","san bruno","305"
"688","waterloo","315"
"689","las vegas","328"
"690","monrovia","305"
"691","#19820 detroit msa","322"
"692","honolulu","311"
"693","milford","335"
"694","camarillo","305"
"695","chattanooga","342"
"696","lisle","313"
"697","ridgefield","307"
"698","peoria","313"
"699","berkeley heights","330"
"700","silver spring","320"
"701","fort worth","343"
"702","louisville","306"
"703","birmingham","301"
"704","hollywood","309"
"705","gaithersburg","320"
"706","little rock","304"
"707","san marco","305"
"708","corte madera","305"
"709","green valley","303"
"710","foster city","305"
"711","weehawken","330"
"712","plainsboro","330"
"713","ashland","321"
"714","peachtree corners","310"
"715","san mateo","305"
"716","milpitas","305"
"717","littleton","306"
"718","nashville\t","342"
"719","fairburn","310"
"720","riverwoods","313"
"721","whippany","330"
"722","wickliffe","335"
"723","hackensack","330"
"724","fresno","343"
"725","madison","349"
"726","minneapolis","323"
"727","lombard","313"
"728","kansas city","325"
"729","dalton","310"
"730","bentonville","304"
"731","covington","310"
"732","waukegan","313"
"733","apt. 204","342"
"734","framingham","321"
"735","tucson","303"
"736","somerset","317"
"737","grand blanc","322"
"738","germantown","320"
"739","newark","330"
"740","seminole","343"
"741","watertown","321"
"742","danville","305"
"743","rocky hill","307"
"744","drexel hill","338"
"745","round rock","343"
"746","aurora","313"
"747","washington, d.c.",""
"748","apt 274","305"
"749","lansing","322"
"750","milwaukee","349"
"751","st louis","325"
"752","jacksonville","309"
"753","ft. lauderdale","309"
"754","gurnee","313"
"755","bismarck","334"
"756","new york city","332"
"757","parsippany","330"
"758","fountain valley","305"
"759","rancho cordova","305"
"760","lake oswego","337"
"761","ashburn","346"
"762","duluth","310"
"763","johns creek","310"
"764","springfield","325"
"765","southington","307"
"766","copiague","332"
"767","shelton","307"
"768","oaks","338"
"769","cherry hill","330"
"770","pine brook","330"
"771","ann arbor","322"
"772","wilmington","333"
"773","coppell","343"
"774","gold river","305"
"775","batavia","313"
"776","temple terrace","309"
"777","salt lake city","344"
"778","madison heights","322"
"779","west chicago","313"
"780","high point","333"
"781","rahway","330"
"782","plymouth","322"
"783","solon","335"
"784","apt. 610","330"
"785","tamarac","309"
"786","lubbock","343"
"787","augusta","310"
"788","brookline","321"
"789","vienna","346"
"790","lake geneva","349"
"791","livonia","322"
"792","edina","323"
"793","folsom","305"
"794","carrollton","343"
"795","santa monica","305"
"796","la habra","305"
"797","rensselear","332"
"798","bowling green","317"
"799","macon","310"
"800","monett","325"
"801","brea","305"
"802","lake forest","313"
"803","peoria, il","313"
"804","johnston","315"
"805","horsham","338"
"806","the colony","343"
"807","green bay","349"
"808","center point","301"
"809","fort meade","309"
"810","greenville","343"
"811","raritan","330"
"812","lewis center","335"
"813","savannah","310"
"814","mahwah","330"
"815","south plainfield","330"
"816","dayton","335"
"817","rockford","313"
"818","doral","309"
"819","lehi","344"
"820","rantoul","313"
"821","farmington","322"
"822","huntersville","333"
"823","san rafael","305"
"824","columbus,","335"
"825","holly springs","333"
"826","university park","338"
"827","goodyear","303"
"828","west palm beach","309"
"829","east chicago","314"
"830","brawley","305"
"831","lincolnshire","313"
"832","cedar rapids","315"
"833","fort wayne","314"
"834","elmira","332"
"835","arlington","346"
"836","roseville","323"
"837","bridgewater,","330"
"838","stamford","307"
"839","oakdale","323"
"840","pensacola","309"
"841","white plains","332"
"842","cos cob","307"
"843","greensboro","333"
"844","branchburg","330"
"845","cranbury","330"
"846","apex","333"
"847","orange","330"
"848","east hartford","307"
"849","kent","347"
"850","sandy springs","310"
"851","boca raton","309"
"852","longwood","309"
"853","blacksburg","346"
"854","chicago,","313"
"855","vernon","307"
"856","reno","328"
"857","carmel,","314"
"858","englewood,","306"
"859","hamilton","330"
"860","oakland","305"
"861","depere","349"
"862","carmel","314"
"863","riverton","344"
"864","okemos","322"
"865","mooresville","333"
"866","san carlos","305"
"867","centerbrook","307"
"868","conroe","343"
"869","north little rock","304"
"870","sun prairie,","349"
"871","clark","330"
"872","melville","332"
"873","manchester","307"
"874","enfield","307"
"875","hayward","305"
"876","merrimack","329"
"877","maumee","335"
"878","vernon hills","313"
"879","murphy","343"
"880","rutherford","330"
"881","woodbridge township","330"
"882","westford","321"
"883","ocala","309"
"884","bedford","321"
"885","brandon","309"
"886","mossville","313"
"887","tamuning",""
"888","gallup","331"
"889","brighton","321"
"890","truckee","305"
"891","north reading","321"
"892","sterling","313"
"893","prosper","343"
"894","kalamazoo","322"
"895","fort lauderdale","309"
"896","new hope","323"
"897","wilmington","335"
"898","woburn","321"
"899","north haven","307"
"900","newtown","338"
"901","glen allen","346"
"902","seatlle","347"
"903","clarksburg","320"
"904","hoffman estates","313"
"905","hillsborough","330"
"906","santa ana","305"
"907","newport beach","305"
"908","christiansburg","346"
"909","new hill","333"
"910","lincoln","327"
"911","plymouth","323"
"912","naperville","313"
"913","new haven","307"
"914","georgetown","317"
"915","rolling meadows","313"
"916","northville twp","322"
"917","buffalo grove","313"
"918","rosemont","313"
"919","chesterfield","325"
"920","dublin","305"
"921","boxborough","321"
"922","naples","309"
